	APMC	Commodity	combined_label	date	modal_price	quarter	deseasonalise_price
6909	aamgaon	paddy-unhusked	aamgaon:paddy-unhusked	2015-04-01	1412	2	1401.887207589224
6910	aamgaon	paddy-unhusked	aamgaon:paddy-unhusked	2016-04-01	1657	2	1645.1325091893373
6913	aamgaon	paddy-unhusked	aamgaon:paddy-unhusked	2015-08-01	1562	3	1532.2406812789047
6914	aamgaon	paddy-unhusked	aamgaon:paddy-unhusked	2016-08-01	1667	3	1635.2402149116097
6917	aamgaon	paddy-unhusked	aamgaon:paddy-unhusked	2014-12-01	1518	4	1549.9824718977688
6918	aamgaon	paddy-unhusked	aamgaon:paddy-unhusked	2015-12-01	1564	4	1596.9516377128527
6921	aamgaon	paddy-unhusked	aamgaon:paddy-unhusked	2015-02-01	1505	1	1506.0946760227096
6922	aamgaon	paddy-unhusked	aamgaon:paddy-unhusked	2016-02-01	1558	1	1559.1332260753366
6925	aamgaon	paddy-unhusked	aamgaon:paddy-unhusked	2015-01-01	1533	1	1534.1150420882484
6926	aamgaon	paddy-unhusked	aamgaon:paddy-unhusked	2016-01-01	1523	1	1524.107768493413
6929	aamgaon	paddy-unhusked	aamgaon:paddy-unhusked	2015-07-01	1510	3	1481.2313884322318
6930	aamgaon	paddy-unhusked	aamgaon:paddy-unhusked	2016-07-01	1693	3	1660.744861334946
6933	aamgaon	paddy-unhusked	aamgaon:paddy-unhusked	2015-06-01	1339	2	1329.4100360920474
6934	aamgaon	paddy-unhusked	aamgaon:paddy-unhusked	2016-06-01	1604	2	1592.5120970064556
6937	aamgaon	paddy-unhusked	aamgaon:paddy-unhusked	2015-03-01	1419	1	1420.0321231071262
6938	aamgaon	paddy-unhusked	aamgaon:paddy-unhusked	2016-03-01	1633	1	1634.187778036601
6941	aamgaon	paddy-unhusked	aamgaon:paddy-unhusked	2015-05-01	1402	2	1391.9588279320767
6942	aamgaon	paddy-unhusked	aamgaon:paddy-unhusked	2016-05-01	1578	2	1566.6983098978724
6945	aamgaon	paddy-unhusked	aamgaon:paddy-unhusked	2014-11-01	1507	4	1538.7507148550314
6946	aamgaon	paddy-unhusked	aamgaon:paddy-unhusked	2015-11-01	1512	4	1543.8560589653666
6949	aamgaon	paddy-unhusked	aamgaon:paddy-unhusked	2014-10-01	1670	4	1705.184932851959
6950	aamgaon	paddy-unhusked	aamgaon:paddy-unhusked	2015-10-01	1491	4	1522.4136137019586
6951	aamgaon	paddy-unhusked	aamgaon:paddy-unhusked	2016-10-01	1445	4	1475.4444478868747
6955	aamgaon	paddy-unhusked	aamgaon:paddy-unhusked	2014-09-01	1744	3	1710.77320624226
6956	aamgaon	paddy-unhusked	aamgaon:paddy-unhusked	2015-09-01	1691	3	1658.7829654562279
6957	aamgaon	paddy-unhusked	aamgaon:paddy-unhusked	2016-09-01	1697	3	1664.6686530923826
23060	aamgaon	paddy-unhusked	aamgaon:paddy-unhusked	2016-11-01	1419	4	1448.8966585131318
6961	akhadabalapur	soybean	akhadabalapur:soybean	2015-04-01	3290	2	3240.8554797631778
6962	akhadabalapur	soybean	akhadabalapur:soybean	2016-04-01	3638	2	3583.6572144007423
6972	akhadabalapur	soybean	akhadabalapur:soybean	2015-08-01	3278	3	3229.438059390925
6973	akhadabalapur	soybean	akhadabalapur:soybean	2016-08-01	3594	3	3540.7566764646076
